Year,Actor,Role,Movie,Link, Winner,Ethnicity
2004,Leonardo DiCapri,Howard Hughes,The Aviator,https://en.wikipedia.org//wiki/The_Aviator_(2004_film),False,"['German', 'German', 'Russian']"
2004,Clint Eastwoo,Frankie Dunn,Million Dollar Baby,https://en.wikipedia.org//wiki/Million_Dollar_Baby,False,"['English', 'Scottish', 'Irish', 'German', 'Dutch', 'Welsh']"
2005,Philip Seymour Hoffman,Truman Capote,Capote,https://en.wikipedia.org//wiki/Truman_Capote,True,"['Irish', 'English', 'German', 'Dutch', 'Polish']"
2005,Terrence Howar,Djay,Hustle & Flow,https://en.wikipedia.org//wiki/Hustle_%26_Flow,False,['AfricanAmerican']
2005,Heath Ledge,Ennis Del Mar,Brokeback Mountain,https://en.wikipedia.org//wiki/Brokeback_Mountain,False,"['English', 'Irish', 'Scottish', 'Welsh', 'Jewish', 'Ashkenazi', 'Sephardi']"
2005,Joaquin Phoeni,Johnny Cash,Walk the Line,https://en.wikipedia.org//wiki/Walk_the_Line,False,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German', 'Irish', 'Welsh', 'French', 'Huguenot', 'Ashkenazi', 'Jewish']"
2005,David Strathair,Edward R. Murrow,"Good Night, and Good Luck","https://en.wikipedia.org//wiki/Good_Night,_and_Good_Luck",False,"['Scottish', 'Irish', 'Native', 'Hawaiian', 'Chinese', 'Azorean', 'Portuguese', 'Scottish', 'English']"
2006,Forest Whitaker,Idi Amin,The Last King of Scotland,https://en.wikipedia.org//wiki/The_Last_King_of_Scotland_(film),True,['AfricanAmerican']
2006,Leonardo DiCapri,Danny Archer,Blood Diamond,https://en.wikipedia.org//wiki/Blood_Diamond,False,"['German', 'German', 'Russian']"
2006,Ryan Goslin,Dan Dunne,Half Nelson,https://en.wikipedia.org//wiki/Half_Nelson_(film),False,"['FrenchCanadian', 'English', 'Scottish', 'Irish', 'German', 'AfricanAmerican']"
2006,Peter O'Tool,Maurice Russell,Venus,https://en.wikipedia.org//wiki/Venus_(2006_film),False,"['Irish', 'Scottish']"
2006,Will Smit,Chris Gardner,The Pursuit of Happyness,https://en.wikipedia.org//wiki/The_Pursuit_of_Happyness,False,['AfricanAmerican']
2007,Daniel Day-Lewis,Daniel Plainview,There Will Be Blood,https://en.wikipedia.org//wiki/There_Will_Be_Blood,True,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
2007,George Cloone,Michael Clayton,Michael Clayton,https://en.wikipedia.org//wiki/Michael_Clayton_(film),False,"['Irish', 'English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'Huguenot', 'Dutch']"
2007,Johnny Dep,Sweeney Todd / Benjamin Barker,Sweeney Todd: The Demon Barber of Fleet Street,https://en.wikipedia.org//wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street_(2007_film),False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
2007,Tommy Lee Jone,Hank Deerfield,In the Valley of Elah,https://en.wikipedia.org//wiki/In_the_Valley_of_Elah,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Dutch']"
2007,Viggo Mortense,Nikolai Luzhin,Eastern Promises,https://en.wikipedia.org//wiki/Eastern_Promises,False,"['English', 'Scottish']"
2008,Sean Penn,Harvey Milk,Milk,https://en.wikipedia.org//wiki/Harvey_Milk,True,"['Jewish', 'Italian', 'Irish']"
2008,Richard Jenkin,Walter Vale,The Visitor,https://en.wikipedia.org//wiki/The_Visitor_(2007_drama_film),False,"['Welsh', 'English', 'Irish', 'German']"
2008,Frank Langell,Richard Nixon,Frost/Nixon,https://en.wikipedia.org//wiki/Frost/Nixon_(film),False,['Italian']
2008,Brad Pit,Benjamin Button,The Curious Case of Benjamin Button,https://en.wikipedia.org//wiki/The_Curious_Case_of_Benjamin_Button_(film),False,"['English', 'ScotsIrishNorthern', 'Irish', 'German', 'Scottish', 'Welsh', 'Irish', 'Swedish', 'Dutch', 'French', 'Cornish', 'Channel', 'IslanderJersey']"
2008,Mickey Rourk,"Randy ""The Ram"" Robinson",The Wrestler,https://en.wikipedia.org//wiki/The_Wrestler_(2008_film),False,"['Irish', 'German', 'FrenchCanadian', 'English', 'German']"
2009,Jeff Bridges,"Otis ""Bad"" Blake",Crazy Heart,https://en.wikipedia.org//wiki/Crazy_Heart,True,"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
2009,George Cloone,Ryan Bingham,Up in the Air,https://en.wikipedia.org//wiki/Up_in_the_Air_(2009_film),False,"['Irish', 'English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'Huguenot', 'Dutch']"
