She Has What It Takes,"['Jinx Falkenburg', ' Tom Neal', ' Constance Worth']",['Musical']
She's for Me,"['Grace McDonald', ' David Bruce']",['Musical']
Sherlock Holmes Faces Death,"['Basil Rathbone', ' Nigel Bruce', ' Hillary Brooke']",['Mystery']
Sherlock Holmes and the Secret Weapon,"['Basil Rathbone', ' Nigel Bruce']",['Mystery']
Sherlock Holmes in Washington,"['Basil Rathbone', ' Nigel Bruce']",['Mystery']
Silent Witness,"['Frank Albertson', ' Maris Wrixon']",['Crime']
Silver City Raiders,"['Russell Hayden', ' Dub Taylor']",['Western']
Silver Skates,"['Kenny Baker', ' Belita', ' Patricia Morison']",['Musical']
Silver Spurs,"['Roy Rogers', ' Phyllis Brooks']",['Western']
Six Gun Gospel,"['Johnny Mack Brown', ' Raymond Hatton']",['Western']
The Sky's the Limit,"['Fred Astaire', ' Joan Leslie', ' Robert Benchley', ' Robert Ryan']",['Musical Comedy']
Sleepy Lagoon,"['Judy Canova', ' Dennis Day']",['Comedy']
Slightly Dangerous,"['Lana Turner', ' Robert Young']",['Comedy']
Smart Guy,"['Rick Vallin', ' Veda Ann Borg']",['Crime']
So Proudly We Hail!,"['Claudette Colbert', ' Paulette Goddard', ' George Reeves', ' Veronica Lake']",['Drama']
Someone to Remember,"['Mabel Paige', ' Harry Shannon']",['Drama']
Something to Shout About,"['Don Ameche', ' Janet Blair']",['Comedy']
Son of Dracula,"['Lon Chaney Jr.', ' Evelyn Ankers']",['Horror']
The Song of Bernadette,['Jennifer Jones'],['Bio-pic']
Song of Texas,"['Roy Rogers', ' Sheila Ryan']",['Western']
So This Is Washington,"['Lum and Abner', ' Mildred Coles']",['Comedy']
So's Your Uncle,"['Billie Burke', ' Donald Woods']",['Comedy']
Spotlight Scandals,"['Billy Gilbert', ' Iris Adrian']",['Musical']
Spy Train,"['Richard Travis', ' Catherine Craig']",['Thriller']
Stage Door Canteen,"['Cheryl Walker', ' Lon McCallister']",['Musical']
Star Spangled Rhythm,"['Victor Moore', ' Betty Hutton']",['Musical']
Stormy Weather,"['Lena Horne', ' Bill Robinson', ' Dooley Wilson']",['Musical']
The Strange Death of Adolf Hitler,"['Ludwig Donath', ' Gale Sondergaard']",['War drama']
The Stranger from Pecos,"['Johnny Mack Brown', ' Raymond Hatton', ' Christine McIntyre']",['Western']
