20 Dates,"['Myles Berkowitz', ' Elisabeth Wagner', ' Tia Carrere']",['Mockumentary']
Killer Flick,"['Tod Thawley', ' Christian Leffler', ' Emmett Grennan', ' Creighton Howard', ' Fred Dennis', ' Kathleen Macdonald']",['Comedy']
Kissing a Fool,"['David Schwimmer', ' Jason Lee', ' Mili Avital']",['Comedy']
Knock Off,"['Jean-Claude Van Damme', ' Rob Schneider', ' Lela Rochon']",['Action']
Krippendorf's Tribe,"['Richard Dreyfuss', ' Jenna Elfman', ' Lily Tomlin', ' Natasha Lyonne']",['Comedy']
Kurt & Courtney,"['Footage of Kurt Cobain', ' Courtney Love']",['Documentary']
The Last Days of Disco,"['Chloë Sevigny', ' Kate Beckinsale', ' Chris Eigeman']",['Comedy']
The Last Days,['Interviews with Holocaust survivors'],['Documentary']
Lenny Bruce: Swear to Tell the Truth,"['Archive footage of Lenny Bruce', ' narrated by Robert De Niro']",['Documentary']
Les Misérables,"['Liam Neeson', ' Geoffrey Rush', ' Uma Thurman', ' Claire Danes']",['Period drama']
Let's Talk About Sex,"['Paget Brewster', ' James Hyde', ' Tina Nguyen']",['Drama']
Lethal Weapon 4,"['Mel Gibson', ' Danny Glover', ' Joe Pesci', ' Rene Russo', ' Chris Rock', ' Jet Li']",['Action']
The Life and Times of Hank Greenberg,"['Walter Matthau', ' Carl Levin']",['Documentary']
The Lion King II: Simba's Pride,"['Matthew Broderick', ' Neve Campbell', ' Jason Marsden', ' Nathan Lane']",['Animated']
Living Out Loud,"['Holly Hunter', ' Queen Latifah', ' Danny DeVito']",['Drama']
Lost in Space,"['William Hurt', ' Mimi Rogers', ' Gary Oldman', ' Heather Graham', ' Matt LeBlanc', ' Lacey Chabert']",['Science fiction']
Lulu on the Bridge,"['Harvey Keitel', ' Mira Sorvino', ' Vanessa Redgrave']",['Drama']
Madeline,"['Frances McDormand', ' Nigel Hawthorne', ' Hatty Jones']",['Family']
Major League: Back to the Minors,"['Corbin Bernsen', ' Dennis Haysbert', ' Scott Bakula', ' Bob Uecker']",['Comedy']
The Man in the Iron Mask,"['Leonardo DiCaprio', ' John Malkovich', ' Gabriel Byrne', ' Gérard Depardieu', ' Jeremy Irons']",['Drama']
The Mask of Zorro,"['Antonio Banderas', ' Anthony Hopkins', ' Catherine Zeta-Jones']",['Action']
Meet Joe Black,"['Brad Pitt', ' Anthony Hopkins', ' Claire Forlani', ' Jake Weber', ' Jeffrey Tambor', ' Marcia Gay Harden']",['Fantasy']
Meet the Deedles,"['Steve Van Wormer', ' Paul Walker', ' A. J. Langer']",['Comedy']
Melting Pot,"['Paul Rodriguez', ' CCH Pounder', ' Cliff Robertson']",['Animated']
Mercury Rising,"['Bruce Willis', ' Alec Baldwin', ' Miko Hughes', ' Chi McBride', ' Kim Dickens']",['Drama']
Mighty Joe Young,"['Bill Paxton', ' Charlize Theron', ' David Paymer']",['Action']
The Mighty,"['Kieran Culkin', ' Sharon Stone', ' Elden Henson', ' Harry Dean Stanton', ' Gena Rowlands', ' Gillian Anderson', ' James Gandolfini']",['Drama']
The Mighty Kong,"['Dudley Moore', ' Jodi Benson', ' William Sage']",['Animated']
Montana,"['Kyra Sedgwick', ' Stanley Tucci', ' Robin Tunney', ' Robbie Coltrane']",['Crime']
Monument Ave.,"['Denis Leary', ' Colm Meaney', ' Famke Janssen', ' Martin Sheen']",['Crime']
Mulan,"['Voices of Ming-Na', ' Eddie Murphy', ' Lea Salonga', ' Miguel Ferrer']",['Animated']
Music from Another Room,"['Jude Law', ' Jennifer Tilly', ' Gretchen Mol', ' Martha Plimpton']",['Rom com']
My Giant,"['Billy Crystal', ' Gheorghe Mureșan', ' Kathleen Quinlan']",['Comedy']
The Naked Man,"['Michael Rapaport', ' Michael Jeter', ' Rachael Leigh Cook', ' Arija Bareikis']",['Comedy']
The Negotiator,"['Samuel L. Jackson', ' Kevin Spacey', ' John Spencer', ' David Morse']",['Thriller']
New Rose Hotel,"['Christopher Walken', ' Willem Dafoe', ' Asia Argento', ' Annabella Sciorra']",['Thriller']
The Newton Boys,"['Matthew McConaughey', "" Vincent D'Onofrio"", ' Ethan Hawke', ' Skeet Ulrich']",['Crime']
Next Stop Wonderland,"['Hope Davis', ' Philip Seymour Hoffman', ' Callie Thorne']",['Comedy']
A Night at the Roxbury,"['Will Ferrell', ' Chris Kattan', ' Dan Hedaya', ' Loni Anderson']",['Comedy']
No Looking Back,"['Lauren Holly', ' Jon Bon Jovi', ' Edward Burns']",['Drama']
The Object of My Affection,"['Jennifer Aniston', ' Paul Rudd', ' Steve Zahn', ' Allison Janney', ' Alan Alda']",['Comedy']
October 22,"['Amanda Plummer', ' Colm Meaney', ' Paul Perri', ' Michael Paré']",['Drama']
The Odd Couple II,"['Jack Lemmon', ' Walter Matthau', ' Christine Baranski', ' Jean Smart', ' Jonathan Silverman']",['Comedy']
