3 Ring Circus,"['Dean Martin', ' Jerry Lewis', ' Zsa Zsa Gabor', ' Joanne Dru']",['Musical comedy']
Roogie's Bump,"['Ruth Warrick', ' Olive Blakeney']",['Comedy']
Rose Marie,"['Ann Blyth', ' Howard Keel', ' Fernando Lamas']",['Musical']
Sabaka,"['Boris Karloff', ' June Foray']",['Adventure']
Sabrina,"['Humphrey Bogart', ' Audrey Hepburn', ' William Holden']",['Romantic comedy']
Salt of the Earth,"['Rosaura Revueltas', ' Will Geer']",['Drama']
The Saracen Blade,"['Ricardo Montalbán', ' Betta St. John']",['Adventure']
Saskatchewan,"['Alan Ladd', ' Shelley Winters', ' J. Carrol Naish']",['Western']
Satan's Waitin',['Looney Tunes'],['Animation']
Secret of the Incas,"['Charlton Heston', ' Robert Young', ' Nicole Maurey']",['Adventure']
Security Risk,"['John Ireland', ' Dorothy Malone']",['Thriller']
Seven Brides for Seven Brothers,"['Howard Keel', ' Jane Powell', ' Russ Tamblyn', ' Jeff Richards', ' Julie Newmar', ' Ruta Lee']",['Musical']
The Shanghai Story,"['Ruth Roman', "" Edmond O'Brien""]",['Drama']
She Couldn't Say No,"['Robert Mitchum', ' Jean Simmons']",['Comedy']
Shield for Murder,"[""Edmond O'Brien"", ' Marla English', ' John Agar']",['Film noir']
Siege at Red River,"['Van Johnson', ' Joanne Dru']",['Western']
Sign of the Pagan,"['Jack Palance', ' Jeff Chandler']",['Adventure']
Silent Raiders,"['Richard Bartlett', ' Dean Fredericks']",['War']
The Silver Chalice,"['Paul Newman', ' Virginia Mayo']",['Drama']
Silver Lode,"['Dan Duryea', ' John Payne', ' Lizabeth Scott']",['Western']
Sitting Bull,"['Dale Robertson', ' Mary Murphy']",['Western']
Smarty Cat,['Tom and Jerry'],['Animation']
The Snow Creature,['Paul Langton'],['Science fiction']
Southwest Passage,"['Joanne Dru', ' Rod Cameron', ' John Ireland']",['Western']
Stamp Day for Superman,['George Reeves'],['Short subject']
A Star Is Born,"['Judy Garland', ' James Mason', ' Charles Bickford', ' Jack Carson', ' Tommy Noonan']",['Musical']
The Steel Cage,"[""Maureen O'Sullivan"", ' Lawrence Tierney']",['Drama']
The Student Prince,"['Ann Blyth', ' Edmund Purdom', ' Louis Calhern', ' Edmund Gwenn', ' Betta St. John']",['Musical']
Suddenly,"['Frank Sinatra', ' Sterling Hayden', ' Nancy Gates']",['Crime drama']
Susan Slept Here,"['Dick Powell', ' Debbie Reynolds', ' Anne Francis']",['Romantic comedy']
Tanganyika,"['Van Heflin', ' Ruth Roman', ' Howard Duff']",['Action']
Target Earth,"['Richard Denning', ' Kathleen Crowley']",['Sci-fi']
"Taza, Son of Cochise","['Rock Hudson', ' Barbara Rush', ' Rex Reason']",['Western']
Tennessee Champ,"['Shelley Winters', ' Keenan Wynn']",['Drama']
Them!,"['James Whitmore', '  Edmund Gwenn']",['Science fiction']
