Abe Lincoln in Illinois,"['Raymond Massey', ' Gene Lockhart', ' Ruth Gordon']","['Drama', ' Biography']"
Gangs of Chicago,"['Lloyd Nolan', ' Lola Lane']",['Crime']
Gaucho Serenade,"['Gene Autry', ' June Storey']",['Western']
The Ghost Breakers,"['Bob Hope', ' Paulette Goddard', ' Richard Carlson', ' Anthony Quinn']",['Horror comedy']
The Ghost Comes Home,"['Frank Morgan', ' Billie Burke']",['Comedy']
Girl from Havana,"['Claire Carleton', "" Dennis O'Keefe""]",['Drama']
Girl in 313,"['Florence Rice', ' Lionel Atwill']",['Drama']
Give Us Wings,"['Billy Halop', ' Huntz Hall', ' Gabriel Dell']",['Adventure']
Glamour for Sale,"['Anita Louise', ' Roger Pryor']",['Crime']
The Golden Fleecing,"['Lew Ayres', ' Rita Johnson', ' Lloyd Nolan']",['Comedy']
Golden Gloves,"['Richard Denning', ' Jeanne Cagney']",['Drama']
Gold Rush Maisie,"['Ann Sothern', ' Lee Bowman']",['Comedy']
Go West,"['Marx Brothers', ' John Carroll', ' Diana Lewis']",['Comedy']
Granny Get Your Gun,"['May Robson', ' Margot Stevenson']",['Comedy']
The Grapes of Wrath,"['Henry Fonda', ' Jane Darwell', ' John Carradine']",['Drama']
The Great Dictator,"['Charles Chaplin', ' Paulette Goddard', ' Jack Oakie']",['Comedy']
The Great McGinty,"['Brian Donlevy', ' Muriel Angelus', ' Akim Tamiroff']",['Comedy']
The Green Archer,"['Victor Jory', ' Iris Meredith']",['Serial']
Green Hell,"['Douglas Fairbanks Jr.', ' Joan Bennett', ' John Howard']",['Adventure']
The Green Hornet,"['Gordon Jones', ' Wade Boteler', ' Anne Nagel']",['Adventure Serial']
Half a Sinner,"['Heather Angel', ' John King']",['Mystery']
Haunted Honeymoon,"['Robert Montgomery', ' Constance Cummings']",['Mystery']
He Married His Wife,"['Joel McCrea', ' Nancy Kelly', ' Roland Young']",['Comedy']
Her First Romance,"['Edith Fellows', ' Alan Ladd']",['Musical']
Hidden Enemy,"['Warren Hull', ' Kay Linaker', ' Wilhelm von Brincken']",['Thriller']
High School,"['Jane Withers', ' Lloyd Corrigan']",['Comedy']
Hired!,[''],['Short']
Hired Wife,"['Rosalind Russell', ' Brian Aherne', ' Virginia Bruce']",['Comedy']
His Girl Friday,"['Cary Grant', ' Rosalind Russell', ' Ralph Bellamy']",['Screwball comedy']
Hit Parade of 1941,"['Kenny Baker', ' Frances Langford', ' Hugh Herbert', ' Ann Miller']",['Musical comedy']
Hold That Woman!,"['Frances Gifford', ' James Dunn']",['Comedy']
The House Across the Bay,"['George Raft', ' Joan Bennett', ' Lloyd Nolan']",['Crime drama']
The House of the Seven Gables,"['George Sanders', ' Margaret Lindsay', ' Nan Grey', ' Vincent Price', ' Dick Foran']",['Thriller']
How High Is Up?,['The Three Stooges'],['Comedy Short']
The Howards of Virginia,"['Cary Grant', ' Martha Scott', ' Cedric Hardwicke']",['Period Drama']
Hullabaloo,"['Frank Morgan', ' Virginia Grey', ' Dan Dailey']",['Musical comedy']
Ice-Capades,"['James Ellison', ' Renie Riano', ' Phil Silvers']",['Comedy']
I Love You Again,"['William Powell', ' Myrna Loy']",['Romantic comedy']
I Take This Oath,"['Joyce Compton', ' Gordon Jones']",['Drama']
I Take This Woman,"['Spencer Tracy', ' Hedy Lamarr', ' Laraine Day']",['Drama']
I Want a Divorce,"['Joan Blondell', ' Dick Powell']",['Comedy']
If I Had My Way,"['Bing Crosby', ' Gloria Jean']",['Musical']
I'm Nobody's Sweetheart Now,"['Helen Parrish', ' Constance Moore']",['Drama']
I'm Still Alive,"['Kent Taylor', ' Linda Hayes']",['Drama']
The Invisible Man Returns,"['Cedric Hardwicke', ' Vincent Price', ' Nan Grey']",['Science fiction']
The Invisible Woman,"['Virginia Bruce', ' John Barrymore', ' John Howard']",['Science fiction Comedy']
Irene,"['Anna Neagle', ' Ray Milland', ' Roland Young']",['Musical']
Island of Doomed Men,"['Peter Lorre', ' Rochelle Hudson']",['Thriller']
It All Came True,"['Ann Sheridan', ' Jeffrey Lynn', ' Humphrey Bogart']",['Comedy']
It's a Date,"['Deanna Durbin', ' Kay Francis', ' Walter Pidgeon']",['Musical']
I Was an Adventuress,"['Vera Zorina', ' Richard Greene']",['Drama']
Jennie,"['Virginia Gilmore', ' George Montgomery']",['Drama']
Johnny Apollo,"['Tyrone Power', ' Dorothy Lamour']",['Crime drama']
Junior G-Men,['Dead End Kids'],['Serial']
King of the Lumberjacks,"['John Payne', ' Gloria Dickson']",['Drama']
King of the Royal Mounted,['Allan Lane'],['Adventure Serial']
Kitty Foyle,"['Ginger Rogers', ' Dennis Morgan', ' James Craig']",['Drama']
Knock Knock,[''],['Animated Short']
"Knute Rockne, All American","[""Pat O'Brien"", ' Ronald Reagan']",['Biographical']
