48 Hrs.,"['Nick Nolte', ' Eddie Murphy', "" Annette O'Toole"", ' James Remar', ' David Patrick Kelly']",['Crime comedy']
Safari 3000,"['David Carradine', ' Stockard Channing']",['Action comedy']
Savannah Smiles,"['Mark Miller', ' Donovan Scott']",['Comedy']
The Secret of NIMH,"['Voices of Dom DeLuise', ' Peter Strauss']",['Animated']
The Seduction,"['Morgan Fairchild', ' Andrew Stevens', ' Colleen Camp']",['Thriller']
The Sender,"['Kathryn Harrold', ' Paul Freeman']",['Horror']
Shoot the Moon,"['Albert Finney', ' Diane Keaton', ' Karen Allen']",['Drama']
Silent Rage,"['Chuck Norris', ' Ron Silver']",['Action']
Six Pack,"['Kenny Rogers', ' Diane Lane', ' Barry Corbin', ' Erin Gray', ' Terry Kiser', ' Anthony Michael Hall']",['Comedy']
Six Weeks,"['Dudley Moore', ' Mary Tyler Moore', ' Katherine Healy']",['Drama']
The Slayer,"['Sarah Kendall', ' Frederick Flynn']",['Horror']
Slumber Party Massacre,"['Michelle Michaels', ' Andree Honore']",['Horror']
Some Kind of Hero,"['Richard Pryor', ' Ronny Cox', ' Margot Kidder']",['Drama']
Sophie's Choice,"['Meryl Streep', ' Kevin Kline', ' Peter MacNicol']",['Drama']
Soup for One,"['Saul Rubinek', ' Marcia Strassman']",['Comedy']
Star Trek II: The Wrath of Khan,"['William Shatner', ' Leonard Nimoy', ' Ricardo Montalbán']",['Science fiction']
Still of the Night,"['Meryl Streep', ' Roy Scheider']",['Suspense']
Summer Lovers,"['Peter Gallagher', ' Daryl Hannah']",['Drama']
Swamp Thing,"['Adrienne Barbeau', ' Louis Jourdan']",['Science fiction']
The Sword and the Sorcerer,"['Lee Horsley', ' Kathleen Beller']",['Fantasy']
Tempest,"['John Cassavetes', ' Gena Rowlands', ' Molly Ringwald']",['AdventureComedyDrama']
Tex,"['Matt Dillon', ' Jim Metzler', ' Meg Tilly']",['Drama']
That Championship Season,"['Robert Mitchum', ' Martin Sheen', ' Paul Sorvino', ' Bruce Dern', ' Stacy Keach']",['Drama']
They Call Me Bruce?,"['Johnny Yune', ' Margaux Hemingway']",['Comedy']
The Thing,"['Kurt Russell', ' Keith David', ' Wilford Brimley']",['Horror']
Things Are Tough All Over,"['Cheech Marin', ' Tommy Chong']",['Comedy']
Timerider: The Adventure of Lyle Swann,"['Fred Ward', ' Belinda Bauer', ' Peter Coyote']",['Sci-fi']
Time Walker,['James Karen'],['Sci-fi']
Tootsie,"['Dustin Hoffman', ' Jessica Lange', ' Teri Garr', ' Charles Durning', ' Bill Murray', ' Dabney Coleman', ' George Gaynes']",['Comedy']
The Toy,"['Jackie Gleason', ' Richard Pryor', ' Scott Schwartz', ' Teresa Ganzel', ' Ned Beatty']",['Comedy']
Tron,"['Jeff Bridges', ' David Warner', ' Bruce Boxleitner', ' Cindy Morgan']",['Sci-fi']
The Verdict,"['Paul Newman', ' Jack Warden', ' James Mason', ' Charlotte Rampling', ' Wesley Addy', ' Lindsay Crouse']",['Drama']
Vice Squad,"['Season Hubley', ' Wings Hauser', ' Fred Berry']",['Thriller']
Victor Victoria,"['Julie Andrews', ' James Garner', ' Robert Preston', ' Lesley Ann Warren', ' Alex Karras', ' John Rhys-Davies']",['Musical comedy']
Visiting Hours,"['Michael Ironside', ' Lee Grant']",['Thriller']
The Weavers: Wasn't That a Time!,"['The Weavers', ' Pete Seeger']",['Documentary']
White Dog,"['Kristy McNichol', ' Paul Winfield', ' Jameson Parker']",['Thriller']
The World According to Garp,"['Robin Williams', ' Glenn Close', ' Mary Beth Hurt', ' John Lithgow']",['Comedy']
Wrong Is Right,"['Sean Connery', ' Katharine Ross']",['Drama']
"Yes, Giorgio","['Luciano Pavarotti', ' Kathryn Harrold']",['Comedy']
Young Doctors in Love,"['Michael McKean', ' Sean Young']",['Comedy']
Zapped!,"['Scott Baio', ' Willie Aames']",['Comedy']
